classe,page,de,en
8,157,"der Gewinner, die Gewinnerin / der Sieger, die Siegerin",winner
8,157,die Krankheit,illness
8,157,der Rollstuhl,wheelchair
8,157,der Ehemann,husband
8,157,das Café,cafe
8,157,aufstehen,(to) get up
8,157,die Dusche,shower
8,157,sich anziehen,(to) get dressed
8,157,das Frühstück,breakfast
8,157,"dauern, (Zeit) brauchen, in Anspruch nehmen",(to) take
8,157,(sich etwas) anschauen; (etwas) beobachten,(to) watch (sth.)
8,157,die Zeile; die Reihe,line
8,157,das Einkaufen; die Einkäufe,shopping
8,157,der Nachmittag,afternoon
8,157,bürsten,(to) brush
8,157,der Zahn,"tooth, pl teeth"
8,157,jeder; alle,everybody
8,157,das Projekt,project
8,157,"das Land, (auch:) die ländliche Gegend",country
8,157,die AG (in der Schule),(school) club
8,157,"das Schauspiel, die darstellende Kunst",drama
8,157,Rad fahren,(to) cycle
8,157,wandern,(to) hike
8,157,"rennen, laufen",(to) run
8,157,das Trampolinspringen/-turnen,trampolining
8,157,die meisten Schulen,most schools
8,157,Welche AGs …?,Which clubs …?
8,157,"das Meer, die See",sea
8,157,der Satz,sentence
8,157,manchmal,sometimes
8,157,"nie, niemals",never
8,157,selten (Adv.),rarely
8,157,das Geheimnis; geheim,secret
8,157,"die Aktivität, die Tätigkeit",activity
8,157,schade; eine Schande,a shame
8,157,Sehr gerne. / Das würde ich sehr gerne.,I’d love to. (= I would love to.)
8,157,"jn. bitten, etwas zu tun",(to) ask sb. to do sth.
8,157,der Plan,plan
8,157,gewinnen,(to) win
8,157,"der Preis, der Gewinn",prize
8,157,"die Feier, die Zeremonie",ceremony
8,157,zeigen,(to) show
8,157,der Artikel,article
8,157,überrascht,surprised
8,157,"senden, schicken",(to) send
8,157,"nächste(r, s)",next
8,157,Leute (als Anrede verwendet),guys (pl)
8,157,sich fühlen; fühlen,(to) feel
8,157,Mitleid haben mit jm.,(to) be/feel sorry for sb.
8,157,sie; ihr,her
8,157,"dumm, blöd; albern",stupid
8,157,hassen,(to) hate
8,157,viel; sehr,much
8,157,Gut gemacht!,Well done.
8,157,die Nachrichten,news
8,157,(sich etwas) holen/besorgen; bekommen,(to) get
8,157,als Gewinner/in,as the winner
8,157,das Geld,money
8,157,die Überschrift,heading
8,157,herausfinden; sich informieren (über),(to) find out (about)
8,157,jm. etwas erklären,(to) explain sth. to sb.
8,157,"(jm.) geschehen, passieren",(to) happen (to sb.)
8,157,geben,(to) give
8,157,zahlen; (etwas) bezahlen,(to) pay (for sth.)
8,157,die Reinigungskraft,cleaner
8,157,das Pfund (britische Währung),pound (£)
8,157,"der Penny, Pence (Plural)","penny (= p), pl pence"
8,157,"etwas nachschlagen, nachschauen",(to) look sth. up
8,157,das Puzzle,jigsaw (puzzle)
8,157,(ein)sammeln,(to) collect
8,157,der Buchstabe,letter
8,157,die Karte,card
8,157,die Sprache,language
8,157,die Gruppe,group
8,157,teilen,(to) share
8,157,"das Spiel, der Wettkampf",match
8,157,das Licht; die Lampe,light
8,157,deutlich/laut sprechen,(to) speak clearly/loudly
8,157,das Kino,cinema
8,157,"der Pier, die Seebrücke",pier
8,157,"das Geschäft, der Laden",shop
8,157,"hektisch, belebt",busy
8,157,"der Palast, das Schloss",palace
8,157,der Herzog,duke
8,157,der Jachthafen,marina
8,157,der Norden; nördlich; Nord-,north
8,157,das Picknick,picnic
8,157,hören,(to) hear
8,157,die Straße (in Ortschaften),street
8,157,üben,(to) practise
8,157,"die Fähigkeit, die Fertigkeit",skill
8,157,die Pommes frites,chips (pl)
8,157,"die Meile (ca. 1,6 km)",mile
8,157,der Kilometer,kilometre (km)
8,157,riechen; schlecht riechen,(to) smell
8,157,"das Kochen, das (gekochte) Essen",cooking
8,157,langweilig,boring
8,157,sauber,clean
8,157,schmutzig,dirty
8,157,unfreundlich,unfriendly
8,157,das Jugendzentrum,youth centre
8,157,das Feld; die Weide,field
8,157,die Wohnsiedlung; das Gewerbegebiet,estate
8,157,die Stadt,town
8,157,verheiratet (mit),married (to)
8,157,sich kümmern um; aufpassen auf,(to) look after
8,157,"der (Haus-)Müll, der Abfall",rubbish
8,157,der (Müll-)Eimer,bin
8,157,auch,also
8,157,die Notiz; der kurze Brief,note
8,157,wie; wie zum Beispiel,like
8,157,boxen,(to) box
8,157,eine Mädchengruppe; eine Gruppe für Mädchen,a girls’ group
8,157,kaufen,(to) buy
8,157,das Dorf,village
8,157,viele,many
8,157,das Krankenhaus,hospital
8,157,die Schlittschuhbahn,ice rink
8,157,"die Bücherei, die Bibliothek",library
8,157,der Supermarkt,supermarket
8,157,das Museum,museum
8,157,das Stadion,stadium
8,157,der Bahnhof,(train) station
8,157,der/die/das größte; am größten,biggest
8,157,überall,everywhere
8,157,der Kopf,head
8,157,der Blindenhund,guide dog
8,157,"der Besucher, die Besucherin; der Gast",visitor
8,157,ein/e andere/r/s; noch ein/e,another
8,157,Deutschland,Germany
8,157,die Information(en),information
8,157,"die Imbissstube, die Fisch mit Pommes frites verkauft",fish and chip shop
8,157,warm,warm
8,157,der Sommer,summer
8,157,"Entschuldigung, … / Entschuldigen Sie, …","Excuse me, …"
8,157,etwas,something
8,157,"das Wetter, die Witterung",weather
8,157,regnerisch,rainy
8,157,sonnig,sunny
8,157,schneebedeckt; verschneit,snowy
8,157,"wolkig, bewölkt",cloudy
8,157,windig,windy
8,157,außerhalb des Pavillon,outside (the Pavilion)
8,157,kalt,cold
8,157,die Frau,"woman, pl women"
8,157,"hinauf, hoch",up
8,157,"reisen, fahren",(to) travel
8,157,"jede(r, s)",every
8,157,die Sekunde,second
8,157,"mehr, weitere",more
8,157,(an)halten; stoppen; aufhören (mit),(to) stop
8,157,kosten,(to) cost
8,157,"verkehrt herum, auf dem Kopf",upside down
8,157,"also, daher",so
8,157,teuer,expensive
8,157,der Tausch,swap
8,157,"heiß, warm",hot
8,157,etwas brauchen,(to) need sth.
8,157,etwas tun müssen,(to) need to do sth.
8,157,der Tipp,tip
8,157,etwas umdrehen,(to) turn sth. (over)
8,157,"etwas aufräumen, sauber machen",(to) clean sth. up
8,157,Willkommen in/an …,Welcome to …
8,157,sodass,so (that)
