classe,page,de,en
9,158,buchstabieren,(to) spell
9,158,das Alphabet,alphabet
9,158,die Adresse,address
9,158,"so, auf diese Art",like this
9,158,Null (im gesprochenen Englisch),oh
9,158,schreiben,(to) write
9,158,"(jm.) etwas präsentieren, vorstellen",(to) present sth. (to sb.)
9,158,modern,modern
9,158,"der Fotograf, die Fotografin",photographer
9,158,"die Reise, die Fahrt; der Weg",journey
9,158,(mit)kommen,(to) come
9,158,der Bus,bus
9,158,mit dem Fahrrad/Bus/...,by bike/bus/...
9,158,das Auto,car
9,158,"der Zug, die Eisenbahn",train
9,158,kurz; klein (Person; Körpergröße),short
9,158,"der Werktag, der Wochentag",weekday
9,158,um 8 Uhr,at 8 o’clock
9,158,"4 Uhr nachmittags, 16 Uhr",4 p.m.
9,158,4 Uhr (früh)morgens,4 a.m.
9,158,das Vereinigte Königreich,the United Kingdom (= the UK)
9,158,die Stunde,hour
9,158,"die (Wand-, Stand-, Turm-)Uhr",clock
9,158,der Morgen,morning
9,158,der Abend,evening
9,158,die Mittagspause,lunchtime
9,158,"das Ende, der Schluss",end
9,158,vor (der Schule / der Unterrichtsstunde),before (school / the lesson)
9,158,warum,why
9,158,die (Tages-)Zeitung,newspaper (kurz auch: paper)
9,158,der Brief,letter
9,158,der Wettbewerb,competition
9,158,(aus)wählen,(to) choose
9,158,"der Gewinner, die Gewinnerin / der Sieger, die Siegerin",winner
9,158,die Krankheit,illness
9,158,der Rollstuhl,wheelchair
9,158,der Ehemann,husband
9,158,das Café,cafe
9,158,aufstehen,(to) get up
9,158,die Dusche,shower
9,158,sich anziehen,(to) get dressed
9,158,das Frühstück,breakfast
9,158,"dauern, (Zeit) brauchen, in Anspruch nehmen",(to) take
9,158,(sich etwas) anschauen; (etwas) beobachten,(to) watch (sth.)
9,158,die Zeile; die Reihe,line
9,158,das Einkaufen; die Einkäufe,shopping
9,158,der Nachmittag,afternoon
9,158,bürsten,(to) brush
9,158,der Zahn,"tooth, pl teeth"
9,158,jeder; alle,everybody
9,158,das Projekt,project
9,158,"das Land, (auch:) die ländliche Gegend",country
9,158,die AG (in der Schule),(school) club
9,158,"das Schauspiel, die darstellende Kunst",drama
9,158,Rad fahren,(to) cycle
9,158,wandern,(to) hike
9,158,"rennen, laufen",(to) run
9,158,das Trampolinspringen/-turnen,trampolining
9,158,die meisten Schulen,most schools
9,158,Welche AGs …?,Which clubs …?
9,158,"das Meer, die See",sea
9,158,der Satz,sentence
9,158,manchmal,sometimes
9,158,"nie, niemals",never
9,158,selten (Adv.),rarely
9,158,das Geheimnis; geheim,secret
9,158,"die Aktivität, die Tätigkeit",activity
9,158,schade; eine Schande,a shame
9,158,Sehr gerne. / Das würde ich sehr gerne.,I’d love to. (= I would love to.)
9,158,"jn. bitten, etwas zu tun",(to) ask sb. to do sth.
9,158,der Plan,plan
9,158,gewinnen,(to) win
9,158,"der Preis, der Gewinn",prize
9,158,"die Feier, die Zeremonie",ceremony
9,158,zeigen,(to) show
9,158,der Artikel,article
9,158,überrascht,surprised
9,158,"senden, schicken",(to) send
9,158,"nächste(r, s)",next
9,158,Leute (als Anrede verwendet),guys (pl)
9,158,sich fühlen; fühlen,(to) feel
9,158,Mitleid haben mit jm.,(to) be/feel sorry for sb.
9,158,sie; ihr,her
9,158,"dumm, blöd; albern",stupid
9,158,hassen,(to) hate
9,158,viel; sehr,much
9,158,Gut gemacht!,Well done.
9,158,die Nachrichten,news
9,158,(sich etwas) holen/besorgen; bekommen,(to) get
9,158,als Gewinner/in,as the winner
9,158,das Geld,money
9,158,die Überschrift,heading
9,158,herausfinden; sich informieren (über),(to) find out (about)
9,158,jm. etwas erklären,(to) explain sth. to sb.
9,158,"(jm.) geschehen, passieren",(to) happen (to sb.)
9,158,geben,(to) give
9,158,zahlen; (etwas) bezahlen,(to) pay (for sth.)
9,158,die Reinigungskraft,cleaner
9,158,das Pfund (britische Währung),pound (£)
9,158,"der Penny, Pence (Plural)","penny (= p), pl pence"
9,158,"etwas nachschlagen, nachschauen",(to) look sth. up
9,158,das Puzzle,jigsaw (puzzle)
9,158,(ein)sammeln,(to) collect
9,158,der Buchstabe,letter
9,158,die Karte,card
9,158,die Sprache,language
9,158,die Gruppe,group
9,158,teilen,(to) share
9,158,"das Spiel, der Wettkampf",match
9,158,das Licht; die Lampe,light
9,158,deutlich/laut sprechen,(to) speak clearly/loudly
9,158,das Kino,cinema
9,158,"der Pier, die Seebrücke",pier
9,158,"das Geschäft, der Laden",shop
9,158,"hektisch, belebt",busy
9,158,"der Palast, das Schloss",palace
9,158,der Herzog,duke
9,158,der Jachthafen,marina
9,158,der Norden; nördlich; Nord-,north
9,158,das Picknick,picnic
9,158,hören,(to) hear
9,158,die Straße (in Ortschaften),street
9,158,üben,(to) practise
9,158,"die Fähigkeit, die Fertigkeit",skill
9,158,die Pommes frites,chips (pl)
9,158,"die Meile (ca. 1,6 km)",mile
9,158,der Kilometer,kilometre (km)
9,158,riechen; schlecht riechen,(to) smell
9,158,"das Kochen, das (gekochte) Essen",cooking
9,158,langweilig,boring
9,158,sauber,clean
9,158,schmutzig,dirty
9,158,unfreundlich,unfriendly
